Node,Time,Position,Velocity
0,+0ns,570.934:938.11:48.2197,0:0:0
1,+0ns,240.749:851.987:97.3976,0:0:0
2,+0ns,324.496:549.096:71.6348,0:0:0
3,+0ns,384.902:675.484:74.9478,0:0:0
4,+0ns,115.771:546.929:59.3077,0:0:0
5,+0ns,382.513:839.917:114.216,0:0:0
6,+0ns,512.258:442.806:79.2163,0:0:0
7,+0ns,389.801:795.633:95.4045,0:0:0
8,+0ns,171.105:698.21:61.1172,0:0:0
9,+0ns,345.832:722.971:112.19,0:0:0
10,+0ns,348.688:758.593:101.653,0:0:0
11,+0ns,1175.08:1264.92:102.838,0:0:0
12,+0ns,1140.41:1141.89:80.4638,0:0:0
13,+0ns,971.23:1440.76:100.321,0:0:0
14,+0ns,1188.39:1339.31:91.6798,0:0:0
15,+0ns,1096.74:1118.47:34.4285,0:0:0
16,+0ns,981.849:1449.92:115.098,0:0:0
17,+0ns,1150.27:1207.54:111.854,0:0:0
18,+0ns,916.769:1198.54:30,0:0:0
19,+0ns,950.88:1332.01:100.258,0:0:0
20,+0ns,991.952:1095.09:50.5681,0:0:0
21,+0ns,440.725:1048.41:44.6792,0:0:0
22,+0ns,389.866:1196.22:67.9296,0:0:0
23,+0ns,519.783:1210:97.1209,0:0:0
24,+0ns,840.875:1266.71:107.655,0:0:0
25,+0ns,906.147:1122.33:105.713,0:0:0
26,+0ns,586.492:1038.09:98.5609,0:0:0
27,+0ns,490.979:994.435:63.503,0:0:0
28,+0ns,576.982:1168.07:89.0617,0:0:0
29,+0ns,750.563:981.631:61.385,0:0:0
30,+0ns,795.077:879.755:62.9016,0:0:0
31,+0ns,919.687:858.975:105.072,0:0:0
32,+0ns,991.088:670.781:63.4822,0:0:0
33,+0ns,1327.74:602.325:117.895,0:0:0
34,+0ns,1236.04:735.153:120,0:0:0
35,+0ns,933.269:663.163:32.7047,0:0:0
36,+0ns,1229.04:628.46:90.3695,0:0:0
37,+0ns,1200.44:634.732:103.85,0:0:0
38,+0ns,1036.42:417.992:37.3389,0:0:0
39,+0ns,1209.3:525.624:71.6524,0:0:0
40,+0ns,1134.29:1123.81:120,0:0:0
41,+0ns,1030.01:834.194:97.3943,0:0:0
42,+0ns,516.192:1013.28:45.0468,0:0:0
43,+0ns,701.146:1091.02:77.2477,0:0:0
44,+0ns,922.137:1197.45:112.713,0:0:0
45,+0ns,954.416:897.78:92.9339,0:0:0
46,+0ns,662.641:1052.97:82.7247,0:0:0
47,+0ns,983.493:1077.56:109.938,0:0:0
48,+0ns,785.97:939.496:98.8403,0:0:0
49,+0ns,902.456:960.548:103.12,0:0:0
50,+0ns,314.342:1325.76:34.983,0:0:0
51,+0ns,540.414:1464.18:108.386,0:0:0
52,+0ns,720.638:1348.58:90.8596,0:0:0
53,+0ns,551.928:1467.44:109.26,0:0:0
54,+0ns,525.599:1502.5:97.9739,0:0:0
55,+0ns,592.195:1419.4:103.207,0:0:0
56,+0ns,473.423:1547.67:99.3494,0:0:0
57,+0ns,467.575:1380.06:86.0647,0:0:0
58,+0ns,632.474:1467.4:116.114,0:0:0
59,+0ns,730.585:1378.68:106.029,0:0:0
0,+1.25e+11ns,570.934:938.11:48.2197,0:0:0
1,+1.25e+11ns,240.749:851.987:97.3976,0:0:0
2,+1.25e+11ns,324.496:549.096:71.6348,0:0:0
3,+1.25e+11ns,384.902:675.484:74.9478,0:0:0
4,+1.25e+11ns,115.771:546.929:59.3077,0:0:0
5,+1.25e+11ns,382.513:839.917:114.216,0:0:0
6,+1.25e+11ns,512.258:442.806:79.2163,0:0:0
7,+1.25e+11ns,389.801:795.633:95.4045,0:0:0
8,+1.25e+11ns,171.105:698.21:61.1172,0:0:0
9,+1.25e+11ns,345.832:722.971:112.19,0:0:0
10,+1.25e+11ns,348.688:758.593:101.653,0:0:0
11,+1.25e+11ns,1175.08:1264.92:102.838,0:0:0
12,+1.25e+11ns,1140.41:1141.89:80.4638,0:0:0
13,+1.25e+11ns,971.23:1440.76:100.321,0:0:0
14,+1.25e+11ns,1188.39:1339.31:91.6798,0:0:0
15,+1.25e+11ns,1096.74:1118.47:34.4285,0:0:0
16,+1.25e+11ns,981.849:1449.92:115.098,0:0:0
